subject	activityName	tBodyAcc.mean...X	tBodyAcc.mean...Y	tBodyAcc.mean...Z	tBodyAcc.std...X	tBodyAcc.std...Y	tBodyAcc.std...Z	tGravityAcc.mean...X	tGravityAcc.mean...Y	tGravityAcc.mean...Z	tGravityAcc.std...X	tGravityAcc.std...Y	tGravityAcc.std...Z	tBodyAccJerk.mean...X	tBodyAccJerk.mean...Y	tBodyAccJerk.mean...Z	tBodyAccJerk.std...X	tBodyAccJerk.std...Y	tBodyAccJerk.std...Z	tBodyGyro.mean...X	tBodyGyro.mean...Y	tBodyGyro.mean...Z	tBodyGyro.std...X	tBodyGyro.std...Y	tBodyGyro.std...Z	tBodyGyroJerk.mean...X	tBodyGyroJerk.mean...Y	tBodyGyroJerk.mean...Z	tBodyGyroJerk.std...X	tBodyGyroJerk.std...Y	tBodyGyroJerk.std...Z	tBodyAccMag.mean..	tBodyAccMag.std..	tGravityAccMag.mean..	tGravityAccMag.std..	tBodyAccJerkMag.mean..	tBodyAccJerkMag.std..	tBodyGyroMag.mean..	tBodyGyroMag.std..	tBodyGyroJerkMag.mean..	tBodyGyroJerkMag.std..	fBodyAcc.mean...X	fBodyAcc.mean...Y	fBodyAcc.mean...Z	fBodyAcc.std...X	fBodyAcc.std...Y	fBodyAcc.std...Z	fBodyAccJerk.mean...X	fBodyAccJerk.mean...Y	fBodyAccJerk.mean...Z	fBodyAccJerk.std...X	fBodyAccJerk.std...Y	fBodyAccJerk.std...Z	fBodyGyro.mean...X	fBodyGyro.mean...Y	fBodyGyro.mean...Z	fBodyGyro.std...X	fBodyGyro.std...Y	fBodyGyro.std...Z	fBodyAccMag.mean..	fBodyAccMag.std..	fBodyBodyAccJerkMag.mean..	fBodyBodyAccJerkMag.std..	fBodyBodyGyroMag.mean..	fBodyBodyGyroMag.std..	fBodyBodyGyroJerkMag.mean..	fBodyBodyGyroJerkMag.std..
11	SITTING	0.27597683821656	-0.0176177296593876	-0.107065305856688	-0.647138428757962	-0.574198955468153	-0.660025261624204	0.685250745700637	-0.0153526260573248	0.0839504681656051	-0.977823304681529	-0.967678703121019	-0.956982214458599	0.0777002923958599	0.0135386750970382	0.000573230525073886	-0.693818716401274	-0.69419672410828	-0.82439042843949	-0.0388656444756369	-0.067441862691242	0.091569802566879	-0.777765134977707	-0.744416514458599	-0.709651505987261	-0.0939211292825478	-0.0451201392216561	-0.0573130324034395	-0.819811249394904	-0.866486520859873	-0.814875087324841	-0.608040630286624	-0.644347320659236	-0.608040630286624	-0.644347320659236	-0.716670487961783	-0.706531035305732	-0.674578987133758	-0.744797710853503	-0.838825553949045	-0.87203516455414	-0.670104733630573	-0.61578083522293	-0.726621143949045	-0.63918623455414	-0.580937807780255	-0.653094666487261	-0.711643436783439	-0.707135462452229	-0.808178925700637	-0.702811556210191	-0.701109624363057	-0.839301588535032	-0.758024328146497	-0.789033867929936	-0.721010322547771	-0.786631102085987	-0.724241105318471	-0.733499753535032	-0.652926683194267	-0.695517234490446	-0.703358188461783	-0.712229864171975	-0.790190120095541	-0.76118020155414	-0.867432714904459	-0.887925362646497
11	STANDING	0.280426805	-0.012451592	-0.1151457	-0.994939905	-0.98448277	-0.982345645	0.944913725	0.063177969	0.199220445	-0.994388445	-0.98796964	-0.98052188	0.0742245945	0.00738684785	0.0040796485	-0.994834615	-0.98568378	-0.99270214	-0.024341826	-0.0433535195	0.12675864	-0.99666535	-0.991901695	-0.986607625	-0.0964868465	-0.0463996435	-0.0521437175	-0.99711898	-0.9965358	-0.99530698	-0.98926923	-0.98803717	-0.98926923	-0.98803717	-0.99260817	-0.994044425	-0.977671155	-0.99146097	-0.99706672	-0.99801246	-0.994401555	-0.98279838	-0.986027155	-0.99510656	-0.985332755	-0.98065488	-0.99461057	-0.985307135	-0.99179462	-0.995613785	-0.98723782	-0.99204693	-0.99561515	-0.992955395	-0.987234915	-0.996959205	-0.991221015	-0.98746428	-0.989624545	-0.98778751	-0.992652115	-0.995261275	-0.99432177	-0.990775725	-0.99784887	-0.99806728
12	WALKING_DOWNSTAIRS	0.277423272821782	-0.0177585385828663	-0.109124826623762	-0.609406265366337	-0.571569013025743	-0.690558299207921	0.619403127871287	0.113432172544554	0.221372305662723	-0.971976712475248	-0.95704184189604	-0.957129711782178	0.0857550484920792	0.00737691106861386	-0.00941505245460396	-0.665599783318317	-0.669629192277233	-0.766199610495049	-0.0167318611514851	-0.0856101486950495	0.0896863303886139	-0.757782966727723	-0.795444321435644	-0.686916439668317	-0.0968598201335644	-0.041149285819802	-0.0585843171737624	-0.724472375910891	-0.828090868415842	-0.761231353168317	-0.586369026831683	-0.608377029871287	-0.586369026831683	-0.608377029871287	-0.680086734759901	-0.663685148965347	-0.684856180663366	-0.744298373729208	-0.789786298960396	-0.81014306539604	-0.63784290115297	-0.59808732689604	-0.711804927475247	-0.599641339014852	-0.585925930778713	-0.704015818118812	-0.685619996821782	-0.68644984179604	-0.759685972277228	-0.674968475369307	-0.673797811376733	-0.771835221386139	-0.693395771188119	-0.793455228465347	-0.674344246485149	-0.778749153420792	-0.798863172029703	-0.72063409980198	-0.61935840624901	-0.663963327776733	-0.667256269465347	-0.662316674180693	-0.764165784405941	-0.775412258767327	-0.817438442970297	-0.814356583415842
12	WALKING_UPSTAIRS	0.278210725677966	-0.0177611915686441	-0.110544322967797	-0.516184446898305	-0.489601369607627	-0.650882873135593	0.905531222033898	-0.077818074440678	0.122390860151389	-0.974314733474576	-0.961798471186441	-0.948198636525424	0.0724029625694915	0.00570782290677966	-0.00460096223516949	-0.607642677228814	-0.598296752947458	-0.749123328474576	-0.0281270985610169	-0.0744521667333898	0.0730838538733051	-0.70802273461017	-0.753034807372881	-0.647394703474576	-0.098507685970339	-0.0381521175722881	-0.0466096403584746	-0.660047735735593	-0.803771375169491	-0.723583322881356	-0.504561522261864	-0.515385806720339	-0.504561522261864	-0.515385806720339	-0.628411050072034	-0.605835550972881	-0.620081816923729	-0.688687902042373	-0.75249477661017	-0.776778944491525	-0.560663747516949	-0.520675941349153	-0.675556305635593	-0.500789886169491	-0.506686837369491	-0.665735539745763	-0.624877917236441	-0.624884620516949	-0.734664287118644	-0.625609390635593	-0.596820344595763	-0.762263278389831	-0.621876529059322	-0.748830740084746	-0.626986278567797	-0.736204940457627	-0.757868877711864	-0.687419150762712	-0.531036148811864	-0.582950495435593	-0.603575399101695	-0.612402184187288	-0.707999593389831	-0.73009210470339	-0.779642077372881	-0.788535371779661
13	WALKING_UPSTAIRS	0.277461965749235	-0.0168882487598315	-0.111658410370948	-0.611224266917431	-0.577147800842813	-0.638788870519878	0.594186103914373	0.0268280817278287	0.132434644115596	-0.973221608379205	-0.970946087981651	-0.957437177859327	0.0767519762929664	0.00574023955944648	-0.00537101098715596	-0.656065974612844	-0.626815068889449	-0.752169975963303	-0.0646292198816208	-0.0534537686129664	0.114908714952905	-0.764611793299694	-0.773075492201835	-0.627072778351682	-0.0884965120085535	-0.0462410765397248	-0.0600099897590214	-0.793311496238532	-0.813110801620795	-0.750320818807339	-0.573754346174618	-0.632371683070336	-0.573754346174618	-0.632371683070336	-0.657682654396024	-0.650767727096024	-0.651497074853517	-0.719190473430581	-0.796254138287462	-0.812451754758716	-0.634588162420795	-0.589457041074924	-0.674988792348624	-0.604024189544343	-0.599088239131498	-0.649372292269113	-0.672131389863914	-0.6496103799263	-0.734999074180428	-0.670231291299694	-0.627703547151376	-0.767974908685015	-0.733278026103976	-0.765379658094495	-0.659842682143731	-0.776604661779816	-0.780905705810398	-0.653456853116208	-0.619496218574924	-0.697888485610703	-0.642287745177064	-0.66413289481529	-0.75474436382263	-0.745833202510703	-0.812953436131499	-0.825135647470948
14	SITTING	0.268045770736842	-0.0171462740615789	-0.108408415956037	-0.633576439371517	-0.40107656671548	-0.653522559095975	0.608514634182662	-0.000833762430340558	0.110851738206099	-0.957622652414861	-0.953471307770898	-0.942059191504644	0.0807530551956656	0.00292636528563467	-0.00358347956459133	-0.652487041943344	-0.541936973371517	-0.756826982990712	-0.0302338943934675	-0.072218318429257	0.0854876918410526	-0.694967022678019	-0.605347694824458	-0.574849641952941	-0.0901715975058824	-0.044011081020743	-0.0543374018681115	-0.709100053348297	-0.701754644764706	-0.661428501276161	-0.547534145289399	-0.593395763650155	-0.547534145289399	-0.593395763650155	-0.63971830720805	-0.606138452085232	-0.551340390320743	-0.600952726176718	-0.703286404346749	-0.695428373549226	-0.638533389407121	-0.448840867086687	-0.678713757295356	-0.632954782675604	-0.415524032051393	-0.667479729195046	-0.67335314028461	-0.57071513262291	-0.741841606473684	-0.662066879360991	-0.541639710922477	-0.770405413687307	-0.640927616231579	-0.618409078963065	-0.5575149794613	-0.713577149860681	-0.601450068731579	-0.620921839537152	-0.578474479347059	-0.667902981595356	-0.602188996809412	-0.614443452854675	-0.627068592708421	-0.653759978065016	-0.706774961471889	-0.702654896454489
15	SITTING	0.276386133210366	-0.017450182516	-0.107231086685976	-0.724585502324695	-0.633817569223476	-0.698902608801829	0.646358134298781	0.0935822681768293	0.114006858872317	-0.975394538445122	-0.963909573231707	-0.954973032987805	0.0750499286213415	0.00511400619349695	-0.00508265230731707	-0.770711755381098	-0.732050857875	-0.790041672667683	-0.0184176244786585	-0.0847859862585366	0.0862364582993903	-0.814831818628049	-0.770233790982896	-0.71160449565122	-0.107669109408262	-0.0377037274384146	-0.0561382803170732	-0.801479435281707	-0.816154333079268	-0.805574290966463	-0.672898095867988	-0.709705378898476	-0.672898095867988	-0.709705378898476	-0.755420622689024	-0.739424133384146	-0.710925530125	-0.770016908847561	-0.812174813780488	-0.819365248536585	-0.747257840718293	-0.667866461613232	-0.723055381952134	-0.716801927144573	-0.640487590673476	-0.709980424576219	-0.784202826773781	-0.748454934476524	-0.77906603477439	-0.777756322459756	-0.732562131661585	-0.799586277079268	-0.768344333676829	-0.772050107640549	-0.720084370835366	-0.830240621158537	-0.771779386853659	-0.736182543945122	-0.711251051371037	-0.754217744933841	-0.744344606996341	-0.735301181887195	-0.781261235966463	-0.803776528140244	-0.820890990640244	-0.830418796158537
16	SITTING	0.267870012874317	-0.0190320912704918	-0.109263929137978	-0.549097005270492	-0.373602069447541	-0.508890476919672	0.759136468103825	-0.0657894416967213	0.0496889973169399	-0.962442552814208	-0.950029182153005	-0.931770983308743	0.0832325840732241	0.00993037770174863	-0.0111987399993333	-0.556093861906284	-0.483299589201639	-0.691474249098361	-0.0275761524792623	-0.0765145531540984	0.087221753993306	-0.678601757327869	-0.525525791953689	-0.598555295964481	-0.0926790765915301	-0.0380383045822404	-0.0510758747038251	-0.632595838592896	-0.655825394243169	-0.681037129185519	-0.460997798152732	-0.498482352704918	-0.460997798152732	-0.498482352704918	-0.55727505610929	-0.524106775964317	-0.50163837087541	-0.539964702346448	-0.658227789617486	-0.660302935204918	-0.552400532215574	-0.409104414657213	-0.570909622587432	-0.549795659396994	-0.396606950686694	-0.517999326965027	-0.578508409289372	-0.520343721777434	-0.66782853931694	-0.572716023907377	-0.478088846803771	-0.713698941142077	-0.60862663830082	-0.548514663604918	-0.56931355947459	-0.702182019915301	-0.518920584989344	-0.646626247896175	-0.484396989430383	-0.58777777720765	-0.518092185780219	-0.535628359619262	-0.567795613145355	-0.603691682781421	-0.66108005960847	-0.684043953202186
17	SITTING	0.273167218141304	-0.0166133567134783	-0.105292944625875	-0.581102024709046	-0.440637741661413	-0.596791575374185	0.723295136793478	-0.0473863178511141	0.0443759942769022	-0.966592511331522	-0.947016543532609	-0.927212900923913	0.0720311131731522	0.0144170780567935	-0.00544250110883288	-0.587868496259239	-0.527679881165761	-0.762312084293478	-0.0233285981927989	-0.0811429633214674	0.0888947783721739	-0.691628682162228	-0.666378588337772	-0.668026283844837	-0.0986936325239946	-0.0416220550013587	-0.049507711923288	-0.678435079543478	-0.780189147978261	-0.713660610334239	-0.515470791630109	-0.548027814688044	-0.515470791630109	-0.548027814688044	-0.608678104910598	-0.566387784491304	-0.585823039584239	-0.620250690171196	-0.739532968714674	-0.758996423345109	-0.57682764068288	-0.466456727046196	-0.660929712807065	-0.584135674208967	-0.464475706248913	-0.5983292163625	-0.600256394489674	-0.554754329743995	-0.744456611630435	-0.612438792283342	-0.530904227821495	-0.778852396929348	-0.630885730514946	-0.696680274328533	-0.626229244545652	-0.712764380139946	-0.655274583595109	-0.714354780842391	-0.533821066341033	-0.628162053762228	-0.557305860529348	-0.58302392627163	-0.661383282296739	-0.661619193997283	-0.761793379271739	-0.773697787994565
18	WALKING_UPSTAIRS	0.27817025967033	-0.0190408993832692	-0.109177557142308	-0.650231403487912	-0.576771657691209	-0.690710490027473	0.60996746032967	-0.141045670857143	-0.0437026709123626	-0.974219378489011	-0.961262282252747	-0.948715260521978	0.0828921084563187	0.0139680451924725	0.000581288727950549	-0.682468231895055	-0.653532479717033	-0.802136361373626	-0.0633932101768407	-0.0478935027540082	0.100497485026099	-0.743246442817582	-0.743328516634615	-0.676255727439286	-0.0878799805626374	-0.0448383824558517	-0.0603963405659066	-0.722213610258242	-0.82539772489011	-0.769688587362637	-0.612572282342033	-0.638720840514011	-0.612572282342033	-0.638720840514011	-0.691068049159341	-0.689392569246429	-0.653024916083517	-0.712822669109066	-0.790245179714286	-0.80567202	-0.656245891835165	-0.587690554203846	-0.719120971766483	-0.648661373021978	-0.598228590751044	-0.700762836565934	-0.689085438078846	-0.672820035588187	-0.780884462107143	-0.704736829260989	-0.656452323718956	-0.822356413736264	-0.677242261043956	-0.748870670851648	-0.677024884649176	-0.765019158269231	-0.742987925302198	-0.70709287893956	-0.631399956793956	-0.699594117041484	-0.678033124872802	-0.706841493623626	-0.739045879259341	-0.74580892757967	-0.807115508296703	-0.817989017225275
